순,학교(출발),천안역 출발,하이렉스파 건너편,용암마을,학교(도착),운행 특이사항
1,7:40,8:15,5분~10분 소요예상,,8:45,
2,Χ,8:30,5분~10분 소요예상,,9:00,금(X)
3,Χ,8:40,5분~10분 소요예상,,9:10,
4,Χ,8:45,5분~10분 소요예상,,9:15,1대만 운영/금(X)
5,Χ,Χ,8:50,2분~5분 소요,9:05,중간노선 전용
6,Χ,8:50,5분~10분 소요예상,,9:20,
7,Χ,8:55,5분~10분 소요예상,,9:25,추가/금(X)
8,Χ,9:00,5분~10분 소요예상,,9:30,
9,Χ,9:50,5분~10분 소요예상,,10:15,금(X)
10,9:30,10:00,5분~10분 소요예상,,10:25,
11,10:20,10:50,5분~10분 소요예상,,11:15,
12,10:30,11:00,5분~10분 소요예상,,11:25,금(X)
13,11:20,11:50,5분~10분 소요예상,,12:15,
14,11:30,12:00,5분~10분 소요예상,,12:25,금(X)
15,12:40,13:10,5분~10분 소요예상,,13:35,
16,12:50,13:20,5분~10분 소요예상,,13:45,
17,13:50,14:20,5분~10분 소요예상,,14:45,학생회관 승차 가능
18,14:40,15:10,5분~10분 소요예상,,15:35,"금(X), 학생회관 승차 가능"
19,14:50,15:20,5분~10분 소요예상,,15:45,학생회관 승차 가능
20,15:40,16:10,5분~10분 소요예상,,16:35,금(X)
21,15:50,16:20,5분~10분 소요예상,,16:45,금(X)
22,16:30,17:00,5분~10분 소요예상,,17:25,
23,16:40,17:10,5분~10분 소요예상,,17:35,금(X)
24,16:50,17:20,5분~10분 소요예상,,17:45,금(X)
25,17:30,18:05,5분~10분 소요예상,,18:35,
26,17:40,18:15,5분~10분 소요예상,,18:45,금(X)
27,17:50,18:25,5분~10분 소요예상,,18:55,금(X)
28,18:30,19:05,5분~10분 소요예상,,19:35,
29,18:40,19:15,5분~10분 소요예상,,19:45,금(X)
30,18:50,19:25,5분~10분 소요예상,,19:50,
31,19:30,19:55,5분~10분 소요예상,,20:20,학생회관 승차 가능
32,20:30,20:55,5분~10분 소요예상,,21:20,학생회관 승차 가능
33,21:20,21:45,5분~10분 소요예상,,22:10,학생회관 승차 가능
