순,학교(출발),천안터미널,두정동 맥도날드,홈마트 에브리데이,서울대정병원,학교(도착),운행 특이사항
1,7:30,8:10,5분~20분 소요예상,,,8:50,
2,Χ,8:15,5분~20분 소요예상,,,8:55,금(X)
3,Χ,8:25,5분~20분 소요예상,,,9:05,
4,Χ,8:30,5분~20분 소요예상,,,9:10,금(X)
5,Χ,8:35,5분~20분 소요예상,,,9:15,
6,Χ,8:40,5분~20분 소요예상,,,9:20,금(X)
7,Χ,8:45,5분~20분 소요예상,,,9:25,
8,Χ,8:50,5분~20분 소요예상,,,9:30,금(X)
9,Χ,Χ,8:55,5~10분 소요예상,,9:10,중간노선 전용(월~화 2대운영)
10,Χ,9:30,5분~20분 소요예상,,,10:10,
11,10:00,10:30,5분~20분 소요예상,,,11:00,금(X)
12,10:10,10:40,5분~20분 소요예상,,,11:10,
13,11:00,11:30,5분~20분 소요예상,,,12:00,금(X)
14,11:10,11:40,5분~20분 소요예상,,,12:10,
15,12:10,12:40,5분~20분 소요예상,,,13:10,금(X)
16,12:40,13:10,5분~20분 소요예상,,,13:40,
17,13:30,14:00,5분~20분 소요예상,,,14:30,학생회관 승차 가능
18,13:40,14:10,5분~20분 소요예상,,,14:40,학생회관 승차 가능
19,14:30,15:00,5분~20분 소요예상,,,15:30,"금(X), 학생회관 승차 가능"
20,14:40,15:10,5분~20분 소요예상,,,15:40,학생회관 승차 가능
21,14:50,15:20,5분~20분 소요예상,,,15:50,학생회관 승차 가능
22,15:30,16:00,5분~20분 소요예상,,,16:30,"금(X), 학생회관 승차 가능"
23,15:40,16:10,5분~20분 소요예상,,,16:40,
24,15:50,16:20,5분~20분 소요예상,,,16:50,금(X)
25,16:30,17:10,5분~20분 소요예상,,,17:50,금(X)
26,16:40,17:20,5분~20분 소요예상,,,18:00,
27,16:50,17:30,5분~20분 소요예상,,,18:10,금(X)
28,17:30,18:10,5분~20분 소요예상,,,18:50,금(X)
29,17:40,18:20,5분~20분 소요예상,,,19:00,
30,17:50,18:30,5분~20분 소요예상,,,19:10,금(X)
31,18:30,19:10,5분~20분 소요예상,,,19:50,금(X)
32,18:40,19:20,5분~20분 소요예상,,,20:00,
33,18:50,19:30,5분~20분 소요예상,,,20:10,금(X)
34,19:40,20:10,5분~20분 소요예상,,,20:40,학생회관 승차 가능
35,20:40,21:10,5분~20분 소요예상,,,21:40,학생회관 승차 가능
36,21:30,22:00,5분~20분 소요예상,,,22:30,학생회관 승차 가능
